RS-H-Soap	720	45522	4440636	11128	121	68.88	0	0	0	0	0	0	1	685	4333020	1	0	0	14	36	72	72	33.63	67.26	72	0	0	0	93.752	1.005	70	13961	40274	2
RS-M-Soap	354	115051	4527360	33829	44	68.83	0	0	0	0	0	0	0	334	4391057	4	0	0	24277	5	0	0	4.5	0	0	0	0	0	97.25	1.009	89	32606	115051	1
RS-H-Spades	163	291333	4628908	74486	19	68.83	0	0	0	0	0	0	0	156	4316010	5	0	5	190818	8	3	3	7.01	2.63	3	0	691	14.93	100	1.069	104	94324	291333	1
RS-M-Spades	105	286217	4588344	118093	15	68.81	0	0	0	0	0	0	0	93	3987588	9	0	3	478393	15	3	3	13.14	2.63	3	0	466	10.16	100	1.072	103	61232	286217	1
RS-H-Velvet	586	59062	4475470	13807	98	68.76	0	0	0	0	0	0	0	568	4363309	1	0	0	39	15	3	3	13.39	2.68	3	0	0	0	98.079	1.001	91	19624	59062	1
RS-M-Velvet	332	71713	4485514	24347	58	68.77	0	0	0	0	0	0	0	320	4371287	1	0	0	39	10	3	3	8.77	2.63	3	0	0	0	99.816	1.002	97	42054	71713	1
RS-H-Abyss	520	66408	4542138	13523	98	68.72	0	0	0	0	0	0	0	497	4393517	6	0	2	38868	92	3	3	97.25	3.17	3	0	8	0.18	93.821	1.16	100	21337	66408	1
RS-M-Abyss	382	71578	4503182	22050	67	68.77	0	0	0	0	0	0	0	362	4405669	1	0	1	1479	38	0	0	39.7	0	0	0	0	0	94.939	1.003	97	19195	71578	1
RS-H-Cabog	534	41321	4214745	12421	111	68.94	0	0	0	0	0	0	0	528	4187921	1	0	0	2346	3	5	5	12.29	20.49	5	0	0	0	24.206	1.003	24	11934	40728	2
RS-H-Mira	640	110511	4494266	18568	69	68.89	0	0	0	0	0	0	0	586	4385470	10	1	3	25458	109	3	3	144.03	3.96	3	0	241	5.36	79.485	1.04	56	5925	110511	1
RS-M-Mira	731	67456	4609809	15792	90	68.75	0	0	0	0	0	0	1	665	4469428	8	3	6	25881	148	11	17	156.31	11.62	11	0	119	2.58	98.14	1.159	81	19572	67456	1
RS-H-Msrca	106	358962	4479673	176783	10	68.87	0	0	0	0	0	0	0	85	4156613	9	3	3	233103	92	11	11	112.14	13.41	11	0	0	0	84.806	1.052	86	40930	358962	1
RS-M-Msrca	58	241348	4246144	142742	12	68.9	0	0	0	0	0	0	0	47	4009279	4	2	2	165608	77	6	6	120.33	9.38	6	0	0	0	65.701	1.076	74	37848	241348	1
RS-H-Sga	577	75323	4211737	12872	96	68.7	0	0	0	0	0	0	0	551	4146869	1	0	0	435	2	0	0	3.11	0	0	0	0	0	63.744	1.003	62	9685	75323	1
RS-M-Sga	830	44874	4563433	9224	150	68.79	0	0	0	0	0	0	0	798	4430364	10	1	0	28078	62	8	8	62.52	8.07	8	0	0	0	98.429	1.058	100	17080	39550	2
RS-H-Soap	720	45522	4440636	11128	121	68.88	0	0	0	0	0	0	0	692	4366531	2	0	0	3174	49	0	0	69.39	0	0	0	0	0	70.033	1.005	67	12235	40274	2
RS-M-Soap	354	115051	4527360	33829	44	68.83	0	0	0	0	0	0	0	322	4382974	5	0	1	53160	63	3	3	70.79	3.37	3	0	0	0	88.26	1.025	88	20901	115051	1
RS-H-Spades	163	291333	4628908	74486	19	68.83	1	1	0	0	1	4413	0	144	4486966	5	1	5	34389	37	1	1	37.61	1.02	1	0	691	14.93	97.752	1.093	105	34817	291333	1
RS-M-Spades	105	286217	4588344	118093	15	68.81	0	0	0	0	0	0	0	86	4299820	10	3	6	181001	30	5	5	30.34	5.06	5	0	466	10.16	98.161	1.086	110	33626	286217	1
RS-H-Velvet	586	59062	4475470	13807	98	68.76	0	0	0	0	0	0	0	564	4381207	1	0	0	1455	17	0	0	18.38	0	0	0	0	0	91.713	1.004	95	19195	59062	1
RS-M-Velvet	332	71713	4485514	24347	58	68.77	0	0	0	0	0	0	0	312	4389039	2	0	1	6257	25	0	0	27.94	0	0	0	0	0	88.728	1.008	96	19177	71713	1
RS-H-Abyss	520	66408	4542138	13523	98	68.72	0	0	0	0	0	0	0	180	1248267	8	1	5	109161	180	15	20	5.72	0.48	15	0	8	0.18	98.706	1.012	2872	66408	19178	58
RS-M-Abyss	382	71578	4503182	22050	67	68.77	0	0	0	0	0	0	1	140	1350401	1	0	0	49	56	13	49	1.78	0.41	11	2	0	0	98.809	1.004	2938	71578	27255	41
RS-H-Cabog	534	41321	4214745	12421	111	68.94	0	0	0	0	0	0	2	147	1006862	18	1	3	64764	516	34	103	16.59	1.09	30	4	0	0	97.583	1.017	2748	41321	15593	74
RS-M-Cabog	146	127844	3952525	41794	30	69.06	2	2	0	0	2	26700	1	27	717607	7	2	4	159388	181	15	25	5.92	0.49	14	1	210	5.31	95.903	1.012	2928	127843	48536	22
RS-H-Mira	640	110511	4494266	18568	69	68.89	0	0	0	0	0	0	1	346	1191404	17	0	5	106702	417	31	138	13.12	0.98	26	5	241	5.36	99.713	1.005	2939	110511	26189	40
RS-M-Mira	731	67456	4609809	15792	90	68.75	0	0	0	0	0	0	1	395	1258616	19	2	4	155716	1073	150	299	33.83	4.73	141	9	119	2.58	99.487	1.007	2888	67456	22191	52
RS-H-Msrca	106	358962	4479673	176783	10	68.87	0	0	0	0	0	0	3	36	561015	16	1	2	721545	2285	37	118	71.78	1.16	33	4	0	0	99.844	1.004	3111	358962	200886	7
RS-M-Msrca	58	241348	4246144	142742	12	68.9	1	1	0	0	1	20091	1	12	440523	10	2	2	599469	165	15	22	5.18	0.47	14	1	0	0	99.936	1.007	3115	241348	170720	8
RS-H-Sga	577	75323	4211737	12872	96	68.7	0	0	0	0	0	0	0	222	1159818	8	0	0	51105	42	5	6	1.4	0.17	5	0	0	0	93.97	1.002	2686	75323	16853	62
RS-M-Sga	830	44874	4563433	9224	150	68.79	0	0	0	0	0	0	0	241	1267041	14	1	0	112159	27	20	78	0.86	0.63	15	5	0	0	99.021	1.009	2688	39550	12269	86
RS-H-Soap	720	45522	4440636	11128	121	68.88	0	0	0	0	0	0	5	290	1275221	9	0	1	15920	775	243	626	24.66	7.73	221	22	0	0	98.548	1.002	2745	45511	15123	72
RS-M-Soap	354	115051	4527360	33829	44	68.83	0	0	0	0	0	0	6	149	1259109	10	1	1	95782	35	30	45	1.11	0.95	28	2	0	0	99.152	1.01	2967	115051	42560	26
RS-H-Spades	163	291333	4628908	74486	19	68.83	1	1	0	0	1	74486	2	62	869993	11	0	8	520631	138	22	29	4.33	0.69	21	1	691	14.93	99.856	1.017	3088	291332	116634	11
RS-M-Spades	105	286217	4588344	118093	15	68.81	0	0	0	0	0	0	3	38	835384	14	2	6	554424	223	17	70	7.03	0.54	12	5	466	10.16	99.926	1.004	3106	286217	131101	10
RS-H-Velvet	586	59062	4475470	13807	98	68.76	0	0	0	0	0	0	2	206	1341097	4	0	0	269	300	17	61	9.58	0.54	15	2	0	0	98.256	1	2785	59056	18718	58
RS-M-Velvet	332	71713	4485514	24347	58	68.77	1	1	0	0	1	70664	6	132	1334482	2	0	0	3519	266	26	155	8.45	0.83	21	5	0	0	98.682	1	2955	71713	33352	35
RS-H-Abyss	520	66408	4542138	13523	98	68.72	1	1	0	0	1	8523	1	385	3423279	13	0	8	178575	95	6	6	10.38	0.66	6	0	8	0.18	96.484	1.034	778	36852	31941	11
RS-M-Abyss	382	71578	4503182	22050	67	68.77	0	0	0	0	0	0	1	298	3589043	1	0	0	1228	76	5	5	8.33	0.55	5	0	0	0	96.735	1.001	811	66861	48079	8
RS-H-Cabog	534	41321	4214745	12421	111	68.94	1	1	0	0	1	3870	1	399	3249316	13	0	2	72732	388	41	90	43.67	4.62	38	3	0	0	94.206	1.006	737	35518	25608	15
RS-M-Cabog	146	127844	3952525	41794	30	69.06	2	2	0	0	2	84753	1	105	2902044	8	1	4	138273	102	4	4	11.54	0.45	4	0	210	5.31	93.764	1.034	810	88873	95358	5
RS-H-Mira	640	110511	4494266	18568	69	68.89	1	1	0	0	1	5798	1	514	3377470	16	0	5	176081	399	48	55	42.86	5.16	47	1	241	5.36	98.719	1.011	806	45180	47771	8
RS-M-Mira	731	67456	4609809	15792	90	68.75	3	3	0	0	3	46723	1	616	3549022	18	0	3	109452	447	43	44	47.91	4.61	43	0	119	2.58	98.937	1.022	815	49959	36319	10
RS-H-Msrca	106	358962	4479673	176783	10	68.87	1	1	0	0	1	557	1	64	2820865	14	1	3	713870	683	6	6	73.26	0.64	6	0	0	0	99.389	1.009	882	200886	326722	2
RS-M-Msrca	58	241348	4246144	142742	12	68.9	1	1	0	0	1	563	2	39	2600138	9	2	3	692588	152	9	9	16.13	0.95	9	0	0	0	99.942	1.015	894	205410	235641	2
RS-H-Sga	577	75323	4211737	12872	96	68.7	0	0	0	0	0	0	1	448	3253730	14	0	0	97424	8	4	4	0.93	0.47	4	0	0	0	91.055	1.002	724	37897	33248	11
