BC-M-Mira	132	164	96	311769	5413818	5422635	5389079	116480	52231	14	32	35,42	0	0	0	0	0	0	3	105	4423884	10	1	7	770442	9	5	5	4,75	2,64	5	0	191	3,53	100	1,055	235	74370	311769	311769	NA	NA	22654	12504	1	1	NA	NA	3	6
BC-H-Msrca	210	259	180	397830	5624071	5640375	5602907	97165	34913	16	40	35,21	NA	NA	NA	NA	NA	NA	NA	210	5624071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	397830	397830	NA	NA	NA	NA	1	1	NA	NA	NA	NA
BC-M-Msrca	68	90	55	766822	5432639	5440292	5422846	246697	170659	6	13	35,39	0	0	0	0	0	0	1	55	4419587	6	3	6	788204	11	59	59	5,28	28,32	59	0	0	0	100	1,081	240	84617	766822	766822	NA	NA	46705	33826	1	1	NA	NA	2	3
BC-H-Sga	567	30012	463	108975	5471145	8771094	5397822	23397	10868	69	155	35,18	NA	NA	NA	NA	NA	NA	NA	567	5471145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	108975	108597	NA	NA	NA	NA	1	2	NA	NA	NA	NA
BC-M-Sga	361	3344	320	106317	5368062	6180355	5340740	25767	16197	64	129	35,3	0	0	0	0	0	0	0	328	5062466	8	0	0	93845	2	6	50	0,96	2,89	5	1	0	0	99,588	1,02	230	48739	106317	93548	NA	NA	19255	6188	1	2	NA	NA	4	10
BC-H-Soap	284	3161	248	268115	5599263	5991251	5573897	57780	21257	30	74	35,19	NA	NA	NA	NA	NA	NA	NA	284	5599263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	268115	268115	NA	NA	NA	NA	1	1	NA	NA	NA	NA
BC-M-Soap	79	123	73	606530	5341631	5352193	5337776	246346	78462	6	16	35,28	0	0	0	0	0	0	1	60	5133980	0	0	0	0	5	6	50	2,41	2,89	5	1	0	0	99,588	1,002	231	46937	606530	606530	NA	NA	19586	12040	1	1	NA	NA	4	7
BC-H-Spades	252	1127	179	459337	5729752	5962659	5678972	94312	37419	15	38	35,26	NA	NA	NA	NA	NA	NA	NA	252	5729752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	919	16,04	NA	NA	NA	NA	459337	459337	NA	NA	NA	NA	1	1	NA	NA	NA	NA
BC-M-Spades	113	50090	99	346945	5395402	17888992	5385812	103691	60216	17	34	35,36	0	0	0	0	0	0	2	93	4542562	8	0	3	630763	19	11	104	9,13	5,28	7	4	221	4,1	99,901	1,116	240	103897	346945	346945	NA	NA	46136	32207	1	1	NA	NA	2	3
BC-H-Velvet	282	527	251	267159	4966856	5016338	4944132	44126	20909	33	74	35,48	NA	NA	NA	NA	NA	NA	NA	282	4966856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	267159	267159	NA	NA	NA	NA	1	1	NA	NA	NA	NA
BC-M-Velvet	373	444	351	91844	5310336	5325180	5295268	24786	13917	65	136	35,29	1	1	0	0	1	6055	2	339	5054777	1	0	1	53887	19	4	4	9,41	1,98	4	0	0	0	96,901	1,002	205	24180	90692	90692	NA	NA	7949	4313	2	2	NA	NA	8	17
BF-H-Abyss	149	168	141	419237	7036707	7041280	7031322	106769	56017	19	42	43,43	154	144	0	10	64	5508098	53	34	335943	28	9	22	347720	28510	1601	2749	661,17	37,13	1528	73	239	3,4	80,626	1,467	3391	186153	146158	92833	38481	12492	50798	30333	13	25	54	132	35	69
